accountid,account_name,group_type,sub_segment,account_phase__c,tas_bucket,gtm_industry__c,max_aws_support_level,level_1,level_2,level_3,level_9,activity_id,g3_engagement_type,is_direct_engagement,is_attributed_engagement,opp_id,opportunity_name,opp_created_date,opp_close_date,stagename,probability,isclosed,iswon,opp_total_arr,olm_id,functional_area__c,product_name__c,totalprice,service_arr,is_security,is_resiliency,is_sec_res_opportunity
ACC001,Enterprise Corp A,Treatment,Enterprise,Mature,Large,Financial Services,Enterprise,Enterprise,Region A,Sub-Region 1,Region A,ACT001,Security Review,1,1,OPP001,Security Implementation Project,2024-01-15,2024-06-30,Closed Won,100,t,t,150000,OLM001,Security Identity & Compliance,AWS Config,25000,150000,1,0,1
ACC001,Enterprise Corp A,Treatment,Enterprise,Mature,Large,Financial Services,Enterprise,Enterprise,Region A,Sub-Region 1,Region A,ACT001,Security Review,1,1,OPP002,Resiliency Assessment,2024-02-01,2024-07-15,Closed Won,100,t,t,85000,OLM002,Resiliency,AWS Backup,15000,85000,0,1,1
ACC002,Mid-Market Tech B,Treatment,Mid-Market,Growth,Medium,Technology,Developer,Enterprise,Region B,Sub-Region 2,Region B,ACT002,Well-Architected Review,1,1,OPP003,Cloud Migration Initiative,2024-01-20,2024-05-20,Closed Won,100,t,t,95000,OLM003,Architecture,AWS CloudFormation,18000,95000,0,1,1
ACC002,Mid-Market Tech B,Treatment,Mid-Market,Growth,Medium,Technology,Developer,Enterprise,Region B,Sub-Region 2,Region B,ACT002,Well-Architected Review,1,1,OPP004,Security Hardening,2024-02-10,2024-06-30,Closed Won,100,t,t,62000,OLM004,Security Identity & Compliance,AWS CloudTrail,12000,62000,1,0,1
ACC003,Small Business C,Treatment,SMB,New,Small,Retail,Basic,Enterprise,Region C,Sub-Region 3,Region C,ACT003,Architecture Review,1,1,OPP005,Infrastructure Setup,2024-02-05,2024-04-30,Closed Won,100,t,t,42000,OLM005,Resiliency,AWS Systems Manager,8000,42000,0,1,1
ACC004,Enterprise Health D,Treatment,Enterprise,Mature,Large,Healthcare,Enterprise,Enterprise,Region A,Sub-Region 1,Region A,ACT004,Resiliency Assessment,1,1,OPP006,Disaster Recovery Plan,2024-01-25,2024-08-15,Closed Won,100,t,t,185000,OLM006,Resiliency,AWS Backup,35000,185000,0,1,1
ACC004,Enterprise Health D,Treatment,Enterprise,Mature,Large,Healthcare,Enterprise,Enterprise,Region A,Sub-Region 1,Region A,ACT004,Resiliency Assessment,1,1,OPP007,Compliance Framework,2024-03-01,2024-09-30,Closed Won,100,t,t,128000,OLM007,Security Identity & Compliance,AWS Config,24000,128000,1,0,1
ACC005,Mid-Market Finance E,Control,Mid-Market,Growth,Medium,Financial Services,Developer,Enterprise,Region B,Sub-Region 2,Region B,,,,,OPP008,Cloud Adoption Project,2024-01-18,2024-05-15,Closed Won,100,t,t,78000,OLM008,Architecture,AWS CloudFormation,14000,78000,0,1,1
ACC005,Mid-Market Finance E,Control,Mid-Market,Growth,Medium,Financial Services,Developer,Enterprise,Region B,Sub-Region 2,Region B,,,,,OPP009,Security Enhancement,2024-02-20,2024-06-20,Closed Won,100,t,t,55000,OLM009,Security Identity & Compliance,AWS CloudTrail,11000,55000,1,0,1
ACC006,Enterprise Manufacturing F,Control,Enterprise,Mature,Large,Manufacturing,Enterprise,Enterprise,Region A,Sub-Region 1,Region A,,,,,OPP010,Infrastructure Modernization,2024-02-01,2024-07-30,Closed Won,100,t,t,112000,OLM010,Resiliency,AWS Systems Manager,21000,112000,0,1,1
ACC007,Small Business Retail G,Control,SMB,New,Small,Retail,Basic,Enterprise,Region C,Sub-Region 3,Region C,,,,,OPP011,Backup Solution,2024-02-15,2024-04-15,Closed Won,100,t,t,35000,OLM011,Resiliency,AWS Backup,6500,35000,0,1,1
ACC008,Enterprise Technology H,Treatment,Enterprise,Mature,Large,Technology,Enterprise,Enterprise,Region A,Sub-Region 1,Region A,ACT005,Security Review,1,1,OPP012,Multi-Account Security,2024-01-30,2024-08-30,Closed Won,100,t,t,198000,OLM012,Security Identity & Compliance,AWS Config,38000,198000,1,0,1
ACC008,Enterprise Technology H,Treatment,Enterprise,Mature,Large,Technology,Enterprise,Enterprise,Region A,Sub-Region 1,Region A,ACT005,Security Review,1,1,OPP013,Compliance Automation,2024-03-10,2024-10-15,Closed Won,100,t,t,165000,OLM013,Security Identity & Compliance,AWS CloudTrail,31000,165000,1,0,1
ACC009,Mid-Market Education I,Control,Mid-Market,Growth,Medium,Education,Developer,Enterprise,Region B,Sub-Region 2,Region B,,,,,OPP014,Cloud Migration,2024-01-22,2024-06-15,Closed Won,100,t,t,88000,OLM014,Architecture,AWS CloudFormation,16000,88000,0,1,1
ACC010,Enterprise Financial J,Treatment,Enterprise,Mature,Large,Financial Services,Enterprise,Enterprise,Region A,Sub-Region 1,Region A,ACT006,Well-Architected Review,1,1,OPP015,Disaster Recovery,2024-02-12,2024-09-30,Closed Won,100,t,t,142000,OLM015,Resiliency,AWS Backup,27000,142000,0,1,1



